Total,Hombre,Mujer,No especificado
"36,661","32,530","3,893",238
96,89,7,
"2,762","2,414",260,88
95,79,15,1
79,69,10,
279,232,47,
706,615,91,
620,549,71,
"2,666","2,390",273,3
"1,283","1,139",144,
165,144,21,
"3,855","3,434",400,21
"1,907","1,709",194,4
478,409,65,4
"2,481","2,220",259,2
"3,224","2,750",471,3
"2,420","2,221",195,4
"1,050",950,98,2
213,189,23,1
981,883,98,
"1,143","1,005",138,
"1,242","1,119",123,
221,193,28,
718,647,71,
508,453,49,6
"1,126","1,064",58,4
"1,367","1,191",112,64
688,608,80,
863,733,114,16
190,164,26,
"1,446","1,283",162,1
46,42,4,
678,593,79,6
"1,065",950,107,8
